"","term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
"1",2020,117,"ACBarrett",0.984,0.315,0.985,0.365,1.606
"2",2021,117,"ACBarrett",1.035,0.265,1.029,0.528,1.554
"3",2022,117,"ACBarrett",0.795,0.279,0.785,0.274,1.37
"4",2023,117,"ACBarrett",0.685,0.301,0.677,0.121,1.306
"16",1991,106,"AMKennedy",0.856,0.205,0.85,0.476,1.259
"17",1992,106,"AMKennedy",1.035,0.216,1.033,0.629,1.467
"18",1993,106,"AMKennedy",0.871,0.227,0.871,0.433,1.315
"19",1994,106,"AMKennedy",0.847,0.214,0.838,0.437,1.266
"20",1995,106,"AMKennedy",0.743,0.211,0.743,0.344,1.157
"21",1996,106,"AMKennedy",0.831,0.212,0.827,0.408,1.263
"22",1997,106,"AMKennedy",0.816,0.228,0.808,0.395,1.276
"23",1998,106,"AMKennedy",0.947,0.23,0.934,0.532,1.422
"24",1999,106,"AMKennedy",1.084,0.237,1.083,0.624,1.572
"25",2000,106,"AMKennedy",0.964,0.225,0.956,0.542,1.417
"26",2001,106,"AMKennedy",1.055,0.225,1.052,0.623,1.506
"27",2002,106,"AMKennedy",0.899,0.237,0.899,0.448,1.388
"28",2003,106,"AMKennedy",0.765,0.224,0.755,0.337,1.214
"29",2004,106,"AMKennedy",0.54,0.227,0.532,0.109,1.004
"31",2006,106,"AMKennedy",0.457,0.197,0.461,0.084,0.84
"32",2007,106,"AMKennedy",0.42,0.217,0.417,-0.008,0.841
"33",2008,106,"AMKennedy",0.58,0.206,0.577,0.18,0.977
"34",2009,106,"AMKennedy",0.513,0.215,0.506,0.089,0.94
"35",2010,106,"AMKennedy",0.57,0.213,0.565,0.172,0.997
"36",2011,106,"AMKennedy",0.291,0.214,0.285,-0.107,0.721
"37",2012,106,"AMKennedy",0.245,0.199,0.248,-0.154,0.635
"38",2013,106,"AMKennedy",0.07,0.225,0.071,-0.376,0.518
"39",2014,106,"AMKennedy",-0.226,0.21,-0.223,-0.64,0.179
"40",2015,106,"AMKennedy",-0.268,0.232,-0.261,-0.73,0.185
"41",2016,106,"AMKennedy",-0.049,0.233,-0.051,-0.499,0.416
"42",2017,106,"AMKennedy",0.397,0.236,0.39,-0.067,0.864
"48",1991,105,"AScalia",2.502,0.319,2.495,1.91,3.166
"49",1992,105,"AScalia",2.547,0.355,2.542,1.865,3.285
"50",1993,105,"AScalia",2.64,0.364,2.624,1.949,3.38
"51",1994,105,"AScalia",2.896,0.37,2.885,2.205,3.654
"52",1995,105,"AScalia",3.184,0.387,3.184,2.459,3.971
"53",1996,105,"AScalia",3.401,0.396,3.388,2.669,4.21
"54",1997,105,"AScalia",3.482,0.403,3.465,2.723,4.332
"55",1998,105,"AScalia",3.464,0.42,3.447,2.661,4.323
"56",1999,105,"AScalia",3.537,0.427,3.529,2.767,4.4
"57",2000,105,"AScalia",3.539,0.423,3.524,2.733,4.417
"58",2001,105,"AScalia",3.373,0.431,3.356,2.586,4.254
"59",2002,105,"AScalia",3.072,0.427,3.053,2.277,4.006
"60",2003,105,"AScalia",2.902,0.419,2.888,2.139,3.781
"61",2004,105,"AScalia",2.713,0.408,2.707,1.944,3.546
"63",2006,105,"AScalia",2.6,0.377,2.58,1.904,3.379
"64",2007,105,"AScalia",2.435,0.356,2.416,1.784,3.144
"65",2008,105,"AScalia",2.318,0.356,2.31,1.66,3.042
"66",2009,105,"AScalia",2.286,0.348,2.276,1.64,3.017
"67",2010,105,"AScalia",2.121,0.351,2.115,1.453,2.871
"68",2011,105,"AScalia",2.045,0.342,2.031,1.396,2.755
"69",2012,105,"AScalia",1.721,0.34,1.705,1.092,2.432
"70",2013,105,"AScalia",1.582,0.348,1.578,0.928,2.289
"71",2014,105,"AScalia",1.513,0.351,1.494,0.898,2.263
"72",2015,105,"AScalia",1.59,0.448,1.566,0.725,2.523
"73",2018,116,"BMKavanaugh",0.599,0.259,0.597,0.121,1.13
"74",2019,116,"BMKavanaugh",0.558,0.236,0.549,0.117,1.052
"75",2020,116,"BMKavanaugh",0.57,0.237,0.562,0.118,1.07
"76",2021,116,"BMKavanaugh",0.628,0.229,0.623,0.191,1.101
"77",2022,116,"BMKavanaugh",0.479,0.255,0.472,-0.01,0.984
"78",2023,116,"BMKavanaugh",0.524,0.281,0.523,-0.008,1.089
"110",1991,95,"BRWhite",0.633,0.192,0.632,0.263,1.021
"111",1992,95,"BRWhite",0.582,0.229,0.58,0.154,1.045
"122",1991,108,"CThomas",2.752,0.464,2.725,1.889,3.724
"123",1992,108,"CThomas",3.038,0.463,3.011,2.168,3.98
"124",1993,108,"CThomas",3.416,0.438,3.41,2.603,4.306
"125",1994,108,"CThomas",3.632,0.449,3.623,2.791,4.523
"126",1995,108,"CThomas",3.733,0.451,3.721,2.911,4.672
"127",1996,108,"CThomas",3.793,0.455,3.781,2.97,4.737
"128",1997,108,"CThomas",3.779,0.468,3.765,2.927,4.734
"129",1998,108,"CThomas",3.809,0.487,3.783,2.897,4.817
"130",1999,108,"CThomas",3.749,0.503,3.737,2.808,4.8
"131",2000,108,"CThomas",3.783,0.505,3.764,2.863,4.792
"132",2001,108,"CThomas",3.73,0.514,3.699,2.776,4.779
"133",2002,108,"CThomas",3.86,0.508,3.837,2.893,4.872
"134",2003,108,"CThomas",3.876,0.523,3.873,2.895,4.936
"135",2004,108,"CThomas",3.92,0.518,3.893,2.985,4.992
"137",2006,108,"CThomas",3.897,0.496,3.872,2.973,4.93
"138",2007,108,"CThomas",3.757,0.491,3.731,2.852,4.783
"139",2008,108,"CThomas",3.512,0.499,3.489,2.632,4.538
"140",2009,108,"CThomas",3.367,0.507,3.339,2.428,4.404
"141",2010,108,"CThomas",3.202,0.512,3.176,2.257,4.246
"142",2011,108,"CThomas",3.16,0.5,3.14,2.249,4.194
"143",2012,108,"CThomas",3.111,0.489,3.091,2.193,4.153
"144",2013,108,"CThomas",3.132,0.49,3.113,2.219,4.137
"145",2014,108,"CThomas",3.141,0.491,3.111,2.245,4.156
"146",2015,108,"CThomas",3.16,0.482,3.144,2.249,4.147
"147",2016,108,"CThomas",3.164,0.487,3.138,2.275,4.209
"148",2017,108,"CThomas",3.075,0.481,3.049,2.207,4.082
"149",2018,108,"CThomas",3.106,0.478,3.087,2.23,4.077
"150",2019,108,"CThomas",3.059,0.479,3.042,2.173,4.06
"151",2020,108,"CThomas",2.897,0.526,2.87,1.977,3.993
"152",2021,108,"CThomas",2.969,0.542,2.936,2.018,4.095
"153",2022,108,"CThomas",2.971,0.571,2.935,1.973,4.143
"154",2023,108,"CThomas",3.094,0.596,3.049,2.032,4.347
"156",1991,107,"DHSouter",0.603,0.19,0.602,0.251,0.97
"157",1992,107,"DHSouter",0.252,0.185,0.255,-0.113,0.616
"158",1993,107,"DHSouter",-0.234,0.188,-0.232,-0.587,0.15
"159",1994,107,"DHSouter",-0.342,0.19,-0.338,-0.738,0.027
"160",1995,107,"DHSouter",-0.383,0.196,-0.379,-0.769,0.002
"161",1996,107,"DHSouter",-0.321,0.198,-0.325,-0.711,0.062
"162",1997,107,"DHSouter",-0.423,0.213,-0.415,-0.844,-0.019
"163",1998,107,"DHSouter",-0.495,0.208,-0.493,-0.908,-0.098
"164",1999,107,"DHSouter",-0.942,0.222,-0.936,-1.397,-0.495
"165",2000,107,"DHSouter",-1.206,0.239,-1.197,-1.672,-0.75
"166",2001,107,"DHSouter",-1.399,0.266,-1.396,-1.928,-0.887
"167",2002,107,"DHSouter",-1.517,0.282,-1.521,-2.08,-0.979
"168",2003,107,"DHSouter",-1.66,0.281,-1.653,-2.228,-1.127
"169",2004,107,"DHSouter",-1.612,0.286,-1.606,-2.21,-1.077
"171",2006,107,"DHSouter",-1.426,0.284,-1.419,-1.988,-0.887
"172",2007,107,"DHSouter",-1.504,0.295,-1.497,-2.104,-0.951
"173",2008,107,"DHSouter",-1.56,0.321,-1.554,-2.241,-0.989
"174",2010,114,"EKagan",-1.449,0.346,-1.435,-2.161,-0.809
"175",2011,114,"EKagan",-1.44,0.316,-1.428,-2.085,-0.856
"176",2012,114,"EKagan",-1.686,0.31,-1.667,-2.321,-1.111
"177",2013,114,"EKagan",-1.653,0.322,-1.637,-2.317,-1.051
"178",2014,114,"EKagan",-1.701,0.312,-1.692,-2.338,-1.121
"179",2015,114,"EKagan",-1.6,0.325,-1.584,-2.281,-1
"180",2016,114,"EKagan",-1.648,0.325,-1.631,-2.31,-1.052
"181",2017,114,"EKagan",-1.708,0.304,-1.698,-2.325,-1.128
"182",2018,114,"EKagan",-1.729,0.317,-1.714,-2.346,-1.137
"183",2019,114,"EKagan",-1.865,0.333,-1.852,-2.549,-1.238
"184",2020,114,"EKagan",-1.986,0.356,-1.979,-2.709,-1.305
"185",2021,114,"EKagan",-2.15,0.369,-2.129,-2.894,-1.465
"186",2022,114,"EKagan",-2.326,0.425,-2.315,-3.186,-1.542
"187",2023,114,"EKagan",-2.461,0.474,-2.439,-3.425,-1.576
"268",1991,100,"HABlackmun",-1.453,0.264,-1.44,-1.973,-0.97
"269",1992,100,"HABlackmun",-1.663,0.299,-1.655,-2.283,-1.1
"270",1993,100,"HABlackmun",-1.931,0.363,-1.929,-2.651,-1.252
"334",2006,111,"JGRoberts",1.422,0.283,1.41,0.91,2.001
"335",2007,111,"JGRoberts",1.408,0.278,1.401,0.876,1.971
"336",2008,111,"JGRoberts",1.498,0.268,1.496,1.004,2.034
"337",2009,111,"JGRoberts",1.392,0.266,1.391,0.884,1.918
"338",2010,111,"JGRoberts",1.389,0.264,1.379,0.893,1.898
"339",2011,111,"JGRoberts",1.201,0.258,1.195,0.717,1.724
"340",2012,111,"JGRoberts",1.11,0.247,1.109,0.634,1.604
"341",2013,111,"JGRoberts",0.788,0.251,0.78,0.31,1.274
"342",2014,111,"JGRoberts",0.586,0.225,0.58,0.141,1.032
"343",2015,111,"JGRoberts",0.321,0.234,0.318,-0.115,0.787
"344",2016,111,"JGRoberts",0.345,0.229,0.347,-0.087,0.796
"345",2017,111,"JGRoberts",0.403,0.214,0.4,-0.011,0.846
"346",2018,111,"JGRoberts",0.418,0.214,0.416,0.002,0.833
"347",2019,111,"JGRoberts",0.34,0.221,0.338,-0.099,0.779
"348",2020,111,"JGRoberts",0.524,0.234,0.52,0.074,0.989
"349",2021,111,"JGRoberts",0.556,0.228,0.549,0.116,1.018
"350",2022,111,"JGRoberts",0.46,0.26,0.45,-0.034,0.985
"351",2023,111,"JGRoberts",0.514,0.279,0.51,-0.012,1.081
"385",1991,103,"JPStevens",-2.174,0.299,-2.173,-2.762,-1.593
"386",1992,103,"JPStevens",-2.379,0.339,-2.374,-3.08,-1.733
"387",1993,103,"JPStevens",-2.587,0.383,-2.577,-3.356,-1.877
"388",1994,103,"JPStevens",-3.014,0.384,-3.002,-3.768,-2.278
"389",1995,103,"JPStevens",-3.279,0.39,-3.266,-4.054,-2.539
"390",1996,103,"JPStevens",-3.39,0.406,-3.378,-4.222,-2.643
"391",1997,103,"JPStevens",-3.357,0.42,-3.353,-4.225,-2.574
"392",1998,103,"JPStevens",-3.377,0.418,-3.367,-4.256,-2.602
"393",1999,103,"JPStevens",-3.309,0.423,-3.304,-4.191,-2.532
"394",2000,103,"JPStevens",-3.141,0.459,-3.125,-4.08,-2.29
"395",2001,103,"JPStevens",-3.038,0.461,-3.007,-3.996,-2.204
"396",2002,103,"JPStevens",-2.928,0.465,-2.906,-3.905,-2.058
"397",2003,103,"JPStevens",-2.909,0.454,-2.887,-3.894,-2.085
"398",2004,103,"JPStevens",-2.898,0.437,-2.881,-3.813,-2.118
"400",2006,103,"JPStevens",-2.818,0.449,-2.806,-3.729,-2.012
"401",2007,103,"JPStevens",-2.69,0.468,-2.68,-3.717,-1.845
"402",2008,103,"JPStevens",-2.86,0.476,-2.835,-3.892,-2.011
"403",2009,103,"JPStevens",-2.863,0.533,-2.843,-3.975,-1.899
"404",2022,118,"KBJackson",-1.951,0.526,-1.913,-3.072,-1.023
"405",2023,118,"KBJackson",-2.045,0.528,-1.996,-3.171,-1.133
"424",2016,115,"NMGorsuch",1.136,0.36,1.135,0.447,1.853
"425",2017,115,"NMGorsuch",1.06,0.275,1.05,0.554,1.633
"426",2018,115,"NMGorsuch",0.976,0.257,0.976,0.491,1.486
"427",2019,115,"NMGorsuch",0.917,0.25,0.911,0.451,1.434
"428",2020,115,"NMGorsuch",1.083,0.264,1.079,0.579,1.613
"429",2021,115,"NMGorsuch",1.027,0.266,1.02,0.531,1.564
"430",2022,115,"NMGorsuch",1.079,0.29,1.071,0.54,1.665
"431",2023,115,"NMGorsuch",1.119,0.321,1.11,0.521,1.749
"465",1993,109,"RBGinsburg",-0.209,0.221,-0.204,-0.649,0.226
"466",1994,109,"RBGinsburg",-0.447,0.203,-0.442,-0.865,-0.065
"467",1995,109,"RBGinsburg",-0.53,0.203,-0.532,-0.94,-0.137
"468",1996,109,"RBGinsburg",-0.599,0.21,-0.598,-1.021,-0.193
"469",1997,109,"RBGinsburg",-0.729,0.223,-0.72,-1.206,-0.318
"470",1998,109,"RBGinsburg",-0.806,0.224,-0.802,-1.263,-0.38
"471",1999,109,"RBGinsburg",-1.256,0.239,-1.244,-1.747,-0.803
"472",2000,109,"RBGinsburg",-1.5,0.272,-1.485,-2.046,-0.988
"473",2001,109,"RBGinsburg",-1.627,0.288,-1.618,-2.223,-1.086
"474",2002,109,"RBGinsburg",-1.687,0.296,-1.677,-2.29,-1.139
"475",2003,109,"RBGinsburg",-1.756,0.299,-1.741,-2.373,-1.192
"476",2004,109,"RBGinsburg",-1.684,0.299,-1.673,-2.305,-1.139
"478",2006,109,"RBGinsburg",-1.691,0.292,-1.683,-2.277,-1.134
"479",2007,109,"RBGinsburg",-1.675,0.298,-1.667,-2.274,-1.129
"480",2008,109,"RBGinsburg",-1.729,0.29,-1.721,-2.32,-1.182
"481",2009,109,"RBGinsburg",-1.696,0.32,-1.687,-2.339,-1.112
"482",2010,109,"RBGinsburg",-2.101,0.341,-2.089,-2.827,-1.45
"483",2011,109,"RBGinsburg",-2.382,0.352,-2.375,-3.091,-1.722
"484",2012,109,"RBGinsburg",-2.494,0.381,-2.481,-3.258,-1.783
"485",2013,109,"RBGinsburg",-2.495,0.406,-2.476,-3.332,-1.722
"486",2014,109,"RBGinsburg",-2.599,0.412,-2.583,-3.452,-1.853
"487",2015,109,"RBGinsburg",-2.724,0.425,-2.716,-3.594,-1.942
"488",2016,109,"RBGinsburg",-2.822,0.429,-2.806,-3.722,-2.022
"489",2017,109,"RBGinsburg",-2.883,0.443,-2.861,-3.794,-2.076
"490",2018,109,"RBGinsburg",-2.93,0.469,-2.912,-3.889,-2.073
"491",2019,109,"RBGinsburg",-2.914,0.522,-2.91,-3.978,-1.963
"506",2006,112,"SAAlito",1.441,0.291,1.432,0.911,2.026
"507",2007,112,"SAAlito",1.535,0.295,1.537,0.965,2.13
"508",2008,112,"SAAlito",1.803,0.289,1.796,1.275,2.429
"509",2009,112,"SAAlito",1.846,0.31,1.843,1.256,2.465
"510",2010,112,"SAAlito",1.985,0.314,1.965,1.397,2.625
"511",2011,112,"SAAlito",1.991,0.319,1.986,1.38,2.638
"512",2012,112,"SAAlito",1.973,0.326,1.956,1.374,2.65
"513",2013,112,"SAAlito",1.916,0.333,1.91,1.297,2.605
"514",2014,112,"SAAlito",1.746,0.324,1.737,1.139,2.413
"515",2015,112,"SAAlito",1.659,0.336,1.657,1.025,2.325
"516",2016,112,"SAAlito",1.874,0.343,1.872,1.22,2.538
"517",2017,112,"SAAlito",2.098,0.341,2.097,1.461,2.774
"518",2018,112,"SAAlito",2.071,0.357,2.057,1.424,2.771
"519",2019,112,"SAAlito",2.317,0.363,2.308,1.659,3.073
"520",2020,112,"SAAlito",2.441,0.39,2.433,1.7,3.241
"521",2021,112,"SAAlito",2.484,0.415,2.465,1.718,3.351
"522",2022,112,"SAAlito",2.546,0.458,2.519,1.721,3.49
"523",2023,112,"SAAlito",2.532,0.505,2.519,1.557,3.553
"534",1991,104,"SDOConnor",0.697,0.205,0.694,0.313,1.11
"535",1992,104,"SDOConnor",0.852,0.212,0.847,0.449,1.27
"536",1993,104,"SDOConnor",1.013,0.22,1.009,0.603,1.458
"537",1994,104,"SDOConnor",0.835,0.217,0.826,0.427,1.274
"538",1995,104,"SDOConnor",0.874,0.216,0.871,0.461,1.301
"539",1996,104,"SDOConnor",0.985,0.222,0.98,0.554,1.428
"540",1997,104,"SDOConnor",1.095,0.236,1.089,0.637,1.564
"541",1998,104,"SDOConnor",0.991,0.225,0.992,0.565,1.445
"542",1999,104,"SDOConnor",0.891,0.213,0.883,0.485,1.308
"543",2000,104,"SDOConnor",0.601,0.198,0.6,0.22,1.007
"544",2001,104,"SDOConnor",0.374,0.206,0.369,-0.017,0.798
"545",2002,104,"SDOConnor",0.268,0.211,0.264,-0.149,0.677
"546",2003,104,"SDOConnor",0.224,0.202,0.221,-0.163,0.631
"547",2004,104,"SDOConnor",0.117,0.236,0.117,-0.349,0.588
"569",1994,110,"SGBreyer",-0.337,0.225,-0.334,-0.777,0.094
"570",1995,110,"SGBreyer",-0.509,0.209,-0.502,-0.916,-0.106
"571",1996,110,"SGBreyer",-0.76,0.218,-0.761,-1.199,-0.332
"572",1997,110,"SGBreyer",-0.787,0.233,-0.779,-1.263,-0.356
"573",1998,110,"SGBreyer",-0.747,0.212,-0.742,-1.17,-0.335
"574",1999,110,"SGBreyer",-0.783,0.215,-0.779,-1.21,-0.36
"575",2000,110,"SGBreyer",-1.234,0.242,-1.234,-1.725,-0.783
"576",2001,110,"SGBreyer",-1.313,0.253,-1.309,-1.807,-0.823
"577",2002,110,"SGBreyer",-1.317,0.272,-1.314,-1.857,-0.798
"578",2003,110,"SGBreyer",-1.244,0.26,-1.235,-1.766,-0.769
"579",2004,110,"SGBreyer",-1.071,0.254,-1.065,-1.585,-0.599
"581",2006,110,"SGBreyer",-1.357,0.259,-1.347,-1.879,-0.873
"582",2007,110,"SGBreyer",-1.277,0.263,-1.273,-1.797,-0.769
"583",2008,110,"SGBreyer",-1.188,0.247,-1.188,-1.672,-0.709
"584",2009,110,"SGBreyer",-1.329,0.264,-1.326,-1.865,-0.838
"585",2010,110,"SGBreyer",-1.405,0.269,-1.398,-1.944,-0.915
"586",2011,110,"SGBreyer",-1.406,0.274,-1.392,-1.954,-0.886
"587",2012,110,"SGBreyer",-1.391,0.284,-1.389,-1.97,-0.858
"588",2013,110,"SGBreyer",-1.479,0.299,-1.476,-2.084,-0.912
"589",2014,110,"SGBreyer",-1.596,0.297,-1.597,-2.187,-1.039
"590",2015,110,"SGBreyer",-1.518,0.309,-1.51,-2.122,-0.928
"591",2016,110,"SGBreyer",-1.614,0.317,-1.608,-2.256,-0.996
"592",2017,110,"SGBreyer",-1.839,0.31,-1.835,-2.483,-1.248
"593",2018,110,"SGBreyer",-1.951,0.336,-1.936,-2.635,-1.315
"594",2019,110,"SGBreyer",-2.058,0.352,-2.048,-2.779,-1.401
"595",2020,110,"SGBreyer",-2.177,0.378,-2.171,-2.933,-1.484
"596",2021,110,"SGBreyer",-2.18,0.419,-2.16,-3.036,-1.398
"605",2009,113,"SSotomayor",-1.63,0.353,-1.623,-2.363,-0.978
"606",2010,113,"SSotomayor",-1.718,0.344,-1.703,-2.428,-1.093
"607",2011,113,"SSotomayor",-1.905,0.364,-1.889,-2.657,-1.245
"608",2012,113,"SSotomayor",-2.366,0.376,-2.363,-3.119,-1.661
"609",2013,113,"SSotomayor",-2.708,0.422,-2.692,-3.594,-1.94
"610",2014,113,"SSotomayor",-3.016,0.444,-3.007,-3.929,-2.225
"611",2015,113,"SSotomayor",-3.264,0.472,-3.249,-4.282,-2.422
"612",2016,113,"SSotomayor",-3.472,0.482,-3.448,-4.483,-2.591
"613",2017,113,"SSotomayor",-3.713,0.506,-3.693,-4.768,-2.806
"614",2018,113,"SSotomayor",-3.841,0.523,-3.803,-4.982,-2.914
"615",2019,113,"SSotomayor",-3.961,0.558,-3.92,-5.125,-2.908
"616",2020,113,"SSotomayor",-4.073,0.601,-4.045,-5.3,-2.932
"617",2021,113,"SSotomayor",-4.13,0.635,-4.113,-5.459,-2.954
"618",2022,113,"SSotomayor",-4.102,0.7,-4.074,-5.535,-2.814
"619",2023,113,"SSotomayor",-4.094,0.753,-4.056,-5.72,-2.695
"706",1991,102,"WHRehnquist",2.136,0.309,2.126,1.572,2.767
"707",1992,102,"WHRehnquist",2.066,0.305,2.063,1.478,2.671
"708",1993,102,"WHRehnquist",1.866,0.307,1.861,1.276,2.481
"709",1994,102,"WHRehnquist",1.876,0.291,1.871,1.308,2.453
"710",1995,102,"WHRehnquist",1.838,0.275,1.835,1.311,2.403
"711",1996,102,"WHRehnquist",1.688,0.283,1.685,1.146,2.269
"712",1997,102,"WHRehnquist",1.658,0.29,1.652,1.13,2.248
"713",1998,102,"WHRehnquist",1.868,0.284,1.861,1.328,2.445
"714",1999,102,"WHRehnquist",1.74,0.283,1.739,1.208,2.314
"715",2000,102,"WHRehnquist",1.687,0.271,1.677,1.183,2.245
"716",2001,102,"WHRehnquist",1.434,0.271,1.421,0.928,1.997
"717",2002,102,"WHRehnquist",1.273,0.274,1.268,0.758,1.846
"718",2003,102,"WHRehnquist",1.398,0.286,1.395,0.87,1.968
"719",2004,102,"WHRehnquist",1.452,0.345,1.441,0.788,2.14
